 48, 47, 35, 46, 
 54, 47, 26, 34, 
 54, 47, 35, 46, 
 61, 47, 26, 34, 
 61, 47, 35, 46, 
 67, 47, 26, 34, 
 67, 47, 35, 46, 
 74, 47, 26, 34, 
 74, 47, 35, 46, 
 80, 47, 26, 34, 
 80, 47, 35, 46, 
 86, 47, 26, 34, 
 86, 47, 35, 46, 
 93, 47, 26, 34, 
 93, 47, 35, 46, 
 99, 47, 26, 34, 
 99, 47, 35, 46, 
 106, 47, 26, 34, 
 106, 47, 35, 46, 
 112, 47, 26, 34, 
 111, 47, 33, 46, 
 117, 47, 22, 34, 
 115, 47, 27, 46, 
 120, 47, 16, 34, 
 118, 47, 21, 46, 
 8, 55, 16, 34, 
 10, 55, 21, 46, 
 11, 55, 22, 34, 
 13, 55, 27, 46, 
 16, 55, 26, 34, 
 17, 55, 33, 46, 
 22, 55, 26, 34, 
 22, 55, 35, 46, 
 29, 55, 26, 34, 
 29, 55, 35, 46, 
 35, 55, 26, 34, 
 35, 55, 35, 46, 
 42, 55, 26, 34, 
 42, 55, 35, 46, 
 48, 55, 26, 34, 
 48, 55, 35, 46, 
 54, 55, 26, 34, 
 54, 55, 35, 46, 
 61, 55, 26, 34, 
 61, 55, 35, 46, 
 67, 55, 26, 34, 
 67, 55, 35, 46, 
 74, 55, 26, 34, 
 74, 55, 35, 46, 
 80, 55, 26, 34, 
 80, 55, 35, 46, 
 86, 55, 26, 34, 
 86, 55, 35, 46, 
 93, 55, 26, 34, 
 93, 55, 35, 46, 
 99, 55, 26, 34, 
 99, 55, 35, 46, 
 106, 55, 26, 34, 
 106, 55, 35, 46, 
 112, 55, 26, 34, 
 111, 55, 33, 46, 
 117, 55, 22, 34, 
 115, 55, 27, 46, 
 120, 55, 16, 34, 
 118, 55, 21, 46, 
 8, 64, 16, 34, 
 10, 64, 21, 46, 
 11, 64, 22, 34, 
 13, 64, 27, 46, 
 16, 64, 26, 34, 
 17, 64, 33, 46, 
 22, 64, 26, 34, 
 22, 64, 35, 46, 
 29, 64, 26, 34, 
 29, 64, 35, 46, 
 35, 64, 26, 34, 
 35, 64, 35, 46, 
 42, 64, 26, 34, 
 42, 64, 35, 46, 
 48, 64, 26, 34, 
 48, 64, 35, 46, 
 54, 64, 26, 34, 
 54, 64, 35, 46, 
 61, 64, 26, 34, 
 61, 64, 35, 46, 
 67, 64, 26, 34, 
 67, 64, 35, 46, 
 74, 64, 26, 34, 
 74, 64, 35, 46, 
 80, 64, 26, 34, 
 80, 64, 35, 46, 
 86, 64, 26, 34, 
 86, 64, 35, 46, 
 93, 64, 26, 34, 
 93, 64, 35, 46, 
 99, 64, 26, 34, 
 99, 64, 35, 46, 
 106, 64, 26, 34, 
 106, 64, 35, 46, 
 112, 64, 26, 34, 
 111, 64, 33, 46, 
 117, 64, 22, 34, 
 115, 64, 27, 46, 
 120, 64, 16, 34, 
 118, 64, 21, 46, 
 8, 73, 16, 34, 
 10, 73, 21, 46, 
 11, 73, 22, 34, 
 13, 73, 27, 46, 
 16, 73, 26, 34, 
 17, 73, 33, 46, 
 22, 73, 26, 34, 
 22, 73, 35, 46, 
 29, 73, 26, 34, 
 29, 73, 35, 46, 
 35, 73, 26, 34, 
 35, 73, 35, 46, 
 42, 73, 26, 34, 
 42, 73, 35, 46, 
 48, 73, 26, 34, 
 48, 73, 35, 46, 
 54, 73, 26, 34, 
 54, 73, 35, 46, 
 61, 73, 26, 34, 
 61, 73, 35, 46, 
 67, 73, 26, 34, 
 67, 73, 35, 46, 
 74, 73, 26, 34, 
 74, 73, 35, 46, 
 80, 73, 26, 34, 
 80, 73, 35, 46, 
 86, 73, 26, 34, 
 86, 73, 35, 46, 
 93, 73, 26, 34, 
 93, 73, 35, 46, 
 99, 73, 26, 34, 
 99, 73, 35, 46, 
 106, 73, 26, 34, 
 106, 73, 35, 46, 
 112, 73, 26, 34, 
 111, 73, 33, 46, 
 117, 73, 22, 34, 
 115, 73, 27, 46, 
 120, 73, 16, 34, 
 118, 73, 21, 46, 
 8, 81, 16, 34, 
 10, 81, 21, 46, 
 11, 81, 22, 34, 
 13, 81, 27, 46, 
 16, 81, 26, 34, 
 17, 81, 33, 46, 
 22, 81, 26, 34, 
 22, 81, 35, 46, 
 29, 81, 26, 34, 
 29, 81, 35, 46, 
 35, 81, 26, 34, 
 35, 81, 35, 46, 
 42, 81, 26, 34, 
 42, 81, 35, 46, 
 48, 81, 26, 34, 
 48, 81, 35, 46, 
 54, 81, 26, 34, 
 54, 81, 35, 46, 
 61, 81, 26, 34, 
 61, 81, 35, 46, 
 67, 81, 26, 34, 
 67, 81, 35, 46, 
 74, 81, 26, 34, 
 74, 81, 35, 46, 
 80, 81, 26, 34, 
 80, 81, 35, 46, 
 86, 81, 26, 34, 
 86, 81, 35, 46, 
 93, 81, 26, 34, 
 93, 81, 35, 46, 
 99, 81, 26, 34, 
 99, 81, 35, 46, 
 106, 81, 26, 34, 
 106, 81, 35, 46, 
 112, 81, 26, 34, 
 111, 81, 33, 46, 
 117, 81, 22, 34, 
 115, 81, 27, 46, 
 120, 81, 16, 34, 
 118, 81, 21, 46, 
 8, 90, 16, 34, 
 10, 90, 21, 46, 
 11, 90, 22, 34, 
 13, 90, 27, 46, 
 16, 90, 26, 34, 
 17, 90, 33, 46, 
 22, 90, 26, 34, 
 22, 90, 35, 46, 
 29, 90, 26, 34, 
 29, 90, 35, 46, 
 35, 90, 26, 34, 
 35, 90, 35, 46, 
 42, 90, 26, 34, 
 42, 90, 35, 46, 
 48, 90, 26, 34, 
 48, 90, 35, 46, 
 54, 90, 26, 34, 
 54, 90, 35, 46, 
 61, 90, 26, 34, 
 61, 90, 35, 46, 
 67, 90, 26, 34, 
 67, 90, 35, 46, 
 74, 90, 26, 34, 
 74, 90, 35, 46, 
 80, 90, 26, 34, 
